name,bus0,bus1,s_nom,r,x,type,type_info
Transformer_lv_grid_216304_1,BusBar_mvgd_1249_lvgd_216304_MV,BusBar_mvgd_1249_lvgd_216304_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_216305_1,BusBar_mvgd_1249_lvgd_216305_MV,BusBar_mvgd_1249_lvgd_216305_LV,0.16,0.0146875,0.037205877811845804,,0.16 MVA 20/0.4 kV
Transformer_lv_grid_498929_1,BusBar_mvgd_1249_lvgd_498929_MV,BusBar_mvgd_1249_lvgd_498929_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_384590_1,BusBar_mvgd_1249_lvgd_384590_MV,BusBar_mvgd_1249_lvgd_384590_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_392072_1,BusBar_mvgd_1249_lvgd_392072_MV,BusBar_mvgd_1249_lvgd_392072_LV,0.4,0.0115,0.03831122550898105,,0.4 MVA 20/0.4 kV
Transformer_lv_grid_216318_1,BusBar_mvgd_1249_lvgd_216318_MV,BusBar_mvgd_1249_lvgd_216318_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_496819_1,BusBar_mvgd_1249_lvgd_496819_MV,BusBar_mvgd_1249_lvgd_496819_LV,0.16,0.0146875,0.037205877811845804,,0.16 MVA 20/0.4 kV
Transformer_lv_grid_216319_1,BusBar_mvgd_1249_lvgd_216319_MV,BusBar_mvgd_1249_lvgd_216319_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_391535_1,BusBar_mvgd_1249_lvgd_391535_MV,BusBar_mvgd_1249_lvgd_391535_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_390572_1,BusBar_mvgd_1249_lvgd_390572_MV,BusBar_mvgd_1249_lvgd_390572_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_392363_1,BusBar_mvgd_1249_lvgd_392363_MV,BusBar_mvgd_1249_lvgd_392363_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_216413_1,BusBar_mvgd_1249_lvgd_216413_MV,BusBar_mvgd_1249_lvgd_216413_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_391014_1,BusBar_mvgd_1249_lvgd_391014_MV,BusBar_mvgd_1249_lvgd_391014_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_385111_1,BusBar_mvgd_1249_lvgd_385111_MV,BusBar_mvgd_1249_lvgd_385111_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_384798_1,BusBar_mvgd_1249_lvgd_384798_MV,BusBar_mvgd_1249_lvgd_384798_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_387844_1,BusBar_mvgd_1249_lvgd_387844_MV,BusBar_mvgd_1249_lvgd_387844_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_385560_1,BusBar_mvgd_1249_lvgd_385560_MV,BusBar_mvgd_1249_lvgd_385560_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_385604_1,BusBar_mvgd_1249_lvgd_385604_MV,BusBar_mvgd_1249_lvgd_385604_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_216443_1,BusBar_mvgd_1249_lvgd_216443_MV,BusBar_mvgd_1249_lvgd_216443_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_384475_1,BusBar_mvgd_1249_lvgd_384475_MV,BusBar_mvgd_1249_lvgd_384475_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_385229_1,BusBar_mvgd_1249_lvgd_385229_MV,BusBar_mvgd_1249_lvgd_385229_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_216450_1,BusBar_mvgd_1249_lvgd_216450_MV,BusBar_mvgd_1249_lvgd_216450_LV,0.16,0.0146875,0.037205877811845804,,0.16 MVA 20/0.4 kV
Transformer_lv_grid_392719_1,BusBar_mvgd_1249_lvgd_392719_MV,BusBar_mvgd_1249_lvgd_392719_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_391651_1,BusBar_mvgd_1249_lvgd_391651_MV,BusBar_mvgd_1249_lvgd_391651_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_389345_1,BusBar_mvgd_1249_lvgd_389345_MV,BusBar_mvgd_1249_lvgd_389345_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_391768_1,BusBar_mvgd_1249_lvgd_391768_MV,BusBar_mvgd_1249_lvgd_391768_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_384839_1,BusBar_mvgd_1249_lvgd_384839_MV,BusBar_mvgd_1249_lvgd_384839_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_216529_1,BusBar_mvgd_1249_lvgd_216529_MV,BusBar_mvgd_1249_lvgd_216529_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_389054_1,BusBar_mvgd_1249_lvgd_389054_MV,BusBar_mvgd_1249_lvgd_389054_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_385436_1,BusBar_mvgd_1249_lvgd_385436_MV,BusBar_mvgd_1249_lvgd_385436_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_387757_1,BusBar_mvgd_1249_lvgd_387757_MV,BusBar_mvgd_1249_lvgd_387757_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_391867_1,BusBar_mvgd_1249_lvgd_391867_MV,BusBar_mvgd_1249_lvgd_391867_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_390698_1,BusBar_mvgd_1249_lvgd_390698_MV,BusBar_mvgd_1249_lvgd_390698_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_216539_1,BusBar_mvgd_1249_lvgd_216539_MV,BusBar_mvgd_1249_lvgd_216539_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_392052_1,BusBar_mvgd_1249_lvgd_392052_MV,BusBar_mvgd_1249_lvgd_392052_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_216540_1,BusBar_mvgd_1249_lvgd_216540_MV,BusBar_mvgd_1249_lvgd_216540_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_513732_1,BusBar_mvgd_1249_lvgd_513732_MV,BusBar_mvgd_1249_lvgd_513732_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_513733_1,BusBar_mvgd_1249_lvgd_513733_MV,BusBar_mvgd_1249_lvgd_513733_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_392155_1,BusBar_mvgd_1249_lvgd_392155_MV,BusBar_mvgd_1249_lvgd_392155_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_392402_1,BusBar_mvgd_1249_lvgd_392402_MV,BusBar_mvgd_1249_lvgd_392402_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_383421_1,BusBar_mvgd_1249_lvgd_383421_MV,BusBar_mvgd_1249_lvgd_383421_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_383968_1,BusBar_mvgd_1249_lvgd_383968_MV,BusBar_mvgd_1249_lvgd_383968_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_384998_1,BusBar_mvgd_1249_lvgd_384998_MV,BusBar_mvgd_1249_lvgd_384998_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_216545_1,BusBar_mvgd_1249_lvgd_216545_MV,BusBar_mvgd_1249_lvgd_216545_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_392218_1,BusBar_mvgd_1249_lvgd_392218_MV,BusBar_mvgd_1249_lvgd_392218_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_386322_1,BusBar_mvgd_1249_lvgd_386322_MV,BusBar_mvgd_1249_lvgd_386322_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_391137_1,BusBar_mvgd_1249_lvgd_391137_MV,BusBar_mvgd_1249_lvgd_391137_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_216771_1,BusBar_mvgd_1249_lvgd_216771_MV,BusBar_mvgd_1249_lvgd_216771_LV,0.16,0.0146875,0.037205877811845804,,0.16 MVA 20/0.4 kV
Transformer_lv_grid_216772_1,BusBar_mvgd_1249_lvgd_216772_MV,BusBar_mvgd_1249_lvgd_216772_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_486362_1,BusBar_mvgd_1249_lvgd_486362_MV,BusBar_mvgd_1249_lvgd_486362_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_486363_1,BusBar_mvgd_1249_lvgd_486363_MV,BusBar_mvgd_1249_lvgd_486363_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_391455_1,BusBar_mvgd_1249_lvgd_391455_MV,BusBar_mvgd_1249_lvgd_391455_LV,0.4,0.0115,0.03831122550898105,,0.4 MVA 20/0.4 kV
Transformer_lv_grid_496646_1,BusBar_mvgd_1249_lvgd_496646_MV,BusBar_mvgd_1249_lvgd_496646_LV,0.25,0.013,0.037828560638755476,,0.25 MVA 20/0.4 kV
Transformer_lv_grid_391416_1,BusBar_mvgd_1249_lvgd_391416_MV,BusBar_mvgd_1249_lvgd_391416_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_391167_1,BusBar_mvgd_1249_lvgd_391167_MV,BusBar_mvgd_1249_lvgd_391167_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_392098_1,BusBar_mvgd_1249_lvgd_392098_MV,BusBar_mvgd_1249_lvgd_392098_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_216929_1,BusBar_mvgd_1249_lvgd_216929_MV,BusBar_mvgd_1249_lvgd_216929_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_384499_1,BusBar_mvgd_1249_lvgd_384499_MV,BusBar_mvgd_1249_lvgd_384499_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_391369_1,BusBar_mvgd_1249_lvgd_391369_MV,BusBar_mvgd_1249_lvgd_391369_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_388798_1,BusBar_mvgd_1249_lvgd_388798_MV,BusBar_mvgd_1249_lvgd_388798_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_388821_1,BusBar_mvgd_1249_lvgd_388821_MV,BusBar_mvgd_1249_lvgd_388821_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_388810_1,BusBar_mvgd_1249_lvgd_388810_MV,BusBar_mvgd_1249_lvgd_388810_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_216981_1,BusBar_mvgd_1249_lvgd_216981_MV,BusBar_mvgd_1249_lvgd_216981_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_388486_1,BusBar_mvgd_1249_lvgd_388486_MV,BusBar_mvgd_1249_lvgd_388486_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_383897_1,BusBar_mvgd_1249_lvgd_383897_MV,BusBar_mvgd_1249_lvgd_383897_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_389003_1,BusBar_mvgd_1249_lvgd_389003_MV,BusBar_mvgd_1249_lvgd_389003_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_387726_1,BusBar_mvgd_1249_lvgd_387726_MV,BusBar_mvgd_1249_lvgd_387726_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_217070_1,BusBar_mvgd_1249_lvgd_217070_MV,BusBar_mvgd_1249_lvgd_217070_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_385920_1,BusBar_mvgd_1249_lvgd_385920_MV,BusBar_mvgd_1249_lvgd_385920_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_388695_1,BusBar_mvgd_1249_lvgd_388695_MV,BusBar_mvgd_1249_lvgd_388695_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_384430_1,BusBar_mvgd_1249_lvgd_384430_MV,BusBar_mvgd_1249_lvgd_384430_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_384513_1,BusBar_mvgd_1249_lvgd_384513_MV,BusBar_mvgd_1249_lvgd_384513_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_384645_1,BusBar_mvgd_1249_lvgd_384645_MV,BusBar_mvgd_1249_lvgd_384645_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_391734_1,BusBar_mvgd_1249_lvgd_391734_MV,BusBar_mvgd_1249_lvgd_391734_LV,0.16,0.0146875,0.037205877811845804,,0.16 MVA 20/0.4 kV
Transformer_lv_grid_391933_1,BusBar_mvgd_1249_lvgd_391933_MV,BusBar_mvgd_1249_lvgd_391933_LV,0.25,0.013,0.037828560638755476,,0.25 MVA 20/0.4 kV
Transformer_lv_grid_392027_1,BusBar_mvgd_1249_lvgd_392027_MV,BusBar_mvgd_1249_lvgd_392027_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_385032_1,BusBar_mvgd_1249_lvgd_385032_MV,BusBar_mvgd_1249_lvgd_385032_LV,0.4,0.0115,0.03831122550898105,,0.4 MVA 20/0.4 kV
Transformer_lv_grid_385320_1,BusBar_mvgd_1249_lvgd_385320_MV,BusBar_mvgd_1249_lvgd_385320_LV,0.4,0.0115,0.03831122550898105,,0.4 MVA 20/0.4 kV
Transformer_lv_grid_385253_1,BusBar_mvgd_1249_lvgd_385253_MV,BusBar_mvgd_1249_lvgd_385253_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_217098_1,BusBar_mvgd_1249_lvgd_217098_MV,BusBar_mvgd_1249_lvgd_217098_LV,0.16,0.0146875,0.037205877811845804,,0.16 MVA 20/0.4 kV
Transformer_lv_grid_386663_1,BusBar_mvgd_1249_lvgd_386663_MV,BusBar_mvgd_1249_lvgd_386663_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_387780_1,BusBar_mvgd_1249_lvgd_387780_MV,BusBar_mvgd_1249_lvgd_387780_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_384595_1,BusBar_mvgd_1249_lvgd_384595_MV,BusBar_mvgd_1249_lvgd_384595_LV,0.16,0.0146875,0.037205877811845804,,0.16 MVA 20/0.4 kV
Transformer_lv_grid_388270_1,BusBar_mvgd_1249_lvgd_388270_MV,BusBar_mvgd_1249_lvgd_388270_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
