name,bus,control,p_nom,type,weather_cell_id,subtype
Generator_mvgd_1249_lvgd_214163_solar_roof_mounted_1312575,BusBar_lac_128652,PQ,0.0054,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214163_solar_roof_mounted_1313791,BusBar_lac_128652,PQ,0.02997,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214163_solar_roof_mounted_1313840,BusBar_lac_128652,PQ,0.02499,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214163_solar_roof_mounted_1313981,BusBar_lac_128652,PQ,0.003185,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214163_solar_roof_mounted_1315136,BusBar_lac_128652,PQ,0.022876,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214163_solar_roof_mounted_1315658,BusBar_lac_128652,PQ,0.00777,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214163_solar_roof_mounted_1316034,BusBar_lac_128652,PQ,0.008400000000000001,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214164_solar_roof_mounted_1310721,BusBar_lac_128652,PQ,0.02952,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214164_solar_roof_mounted_1310729,BusBar_lac_128652,PQ,0.011550000000000001,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214164_solar_roof_mounted_1310950,BusBar_lac_128652,PQ,0.0033,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214164_solar_roof_mounted_1312404,BusBar_lac_128652,PQ,0.00792,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214164_solar_roof_mounted_1314025,BusBar_lac_128652,PQ,0.0057599999999999995,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214164_solar_roof_mounted_1315572,BusBar_lac_128652,PQ,0.00999,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214164_solar_roof_mounted_1315937,BusBar_lac_128652,PQ,0.09165000000000001,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214164_solar_roof_mounted_1316110,BusBar_lac_128652,PQ,0.009800000000000001,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214165_solar_roof_mounted_1310797,BusBar_lac_128652,PQ,0.00645,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214165_solar_roof_mounted_1310813,BusBar_lac_128652,PQ,2.9999999999999997e-05,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214165_solar_roof_mounted_1315003,BusBar_lac_128652,PQ,0.012580000000000001,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214165_solar_roof_mounted_1315010,BusBar_lac_128652,PQ,0.02612,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214166_solar_roof_mounted_1312918,BusBar_lac_128652,PQ,0.0067599999999999995,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214167_solar_roof_mounted_1310653,BusBar_lac_128652,PQ,0.00592,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214167_solar_roof_mounted_1310698,BusBar_lac_128652,PQ,0.0054,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214167_solar_roof_mounted_1312489,BusBar_lac_128652,PQ,0.02993,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214167_solar_roof_mounted_1312802,BusBar_lac_128652,PQ,0.0076,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214167_solar_roof_mounted_1315702,BusBar_lac_128652,PQ,0.004200000000000001,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214168_solar_roof_mounted_1312362,BusBar_lac_128652,PQ,0.016120000000000002,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214168_solar_roof_mounted_1312407,BusBar_lac_128652,PQ,0.0075250000000000004,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214168_solar_roof_mounted_1312442,BusBar_lac_128652,PQ,0.14256,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214168_solar_roof_mounted_1313611,BusBar_lac_128652,PQ,0.00264,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214168_solar_roof_mounted_1315971,BusBar_lac_128652,PQ,0.01377,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214168_solar_roof_mounted_1316163,BusBar_lac_128652,PQ,0.0055899999999999995,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214169_solar_roof_mounted_1310585,BusBar_lac_128652,PQ,0.012960000000000001,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214169_solar_roof_mounted_1310774,BusBar_lac_128652,PQ,0.01444,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214169_solar_roof_mounted_1312342,BusBar_lac_128652,PQ,0.00912,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214169_solar_roof_mounted_1312728,BusBar_lac_128652,PQ,0.02997,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214169_solar_roof_mounted_1315486,BusBar_lac_128652,PQ,0.029785,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214170_solar_roof_mounted_1312397,BusBar_lac_128652,PQ,0.02982,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214170_solar_roof_mounted_1314730,BusBar_lac_128652,PQ,0.00216,solar,1122093,solar_roof_mounted
